route_id,route_name,from,to,stop_index,stop_name,longitude,latitude
7_9,Route 7,Bagrian,Chungi Amar Sidhu,9,Phatak Mandi,74.34026361043713,31.464231511982554
7_10,Route 7,Bagrian,Chungi Amar Sidhu,10,Qainchi,74.3490327440033,31.46458030295554
7_11,Route 7,Bagrian,Chungi Amar Sidhu,11,Ghazi Chowk,74.35106409285788,31.456352424392332
7_12,Route 7,Bagrian,Chungi Amar Sidhu,12,Chungi Amar Sidhu,74.3532970,31.4505010
8_1,Route 8,Doctor Hospital,Canal,1,Doctor Hospital,74.28108434031328,31.48111718257622
8_2,Route 8,Doctor Hospital,Canal,2,Wafaqi Colony,74.2892382556632,31.484365263833762
8_3,Route 8,Doctor Hospital,Canal,4,Hailey College,74.3074840,31.5617120
8_4,Route 8,Doctor Hospital,Canal,6,Barkat Market,74.32080160578967,31.50097838097086
8_5,Route 8,Doctor Hospital,Canal,7,Kalma Chowk,74.33029415394567,31.503837604280204
8_6,Route 8,Doctor Hospital,Canal,8,Qaddafi Stadium,74.3282987486776,31.513951526722398
8_7,Route 8,Doctor Hospital,Canal,9,Canal,74.3265417334084,31.519556186548332
9_1,Route 9,Railway Station,Sham Nagar,1,Railway Station,74.33560046162094,31.57541491964004
9_2,Route 9,Railway Station,Sham Nagar,2,Haji Camp,74.33522807050508,31.57050407843765
9_3,Route 9,Railway Station,Sham Nagar,3,Shimla Pahari,74.33544111182171,31.564325059058753
9_4,Route 9,Railway Station,Sham Nagar,4,Lahore Zoo,74.3271658458679,31.55815596132492
9_5,Route 9,Railway Station,Sham Nagar,7,Qartaba Chowk,74.31550766969512,31.548523903135077
9_6,Route 9,Railway Station,Sham Nagar,8,Chauburji,74.30473247156368,31.553192424160095
9_7,Route 9,Railway Station,Sham Nagar,9,Sham Nagar,74.3041920,31.5541950
10_1,Route 10,Multan Chungi,Qartaba Chowk,1,Multan Chungi,74.26479123650977,31.496230751199437
10_2,Route 10,Multan Chungi,Qartaba Chowk,2,Mustafa Town,74.27460530356505,31.49922611382154
10_3,Route 10,Multan Chungi,Qartaba Chowk,5,Bhekewal Morr,74.3009252824371,31.509780572724534
10_4,Route 10,Multan Chungi,Qartaba Chowk,6,Wahdat Colony,74.3058915092517,31.51231577433336
10_5,Route 10,Multan Chungi,Qartaba Chowk,7,Naqsha Stop,74.3152382136692,31.516850491293347
10_6,Route 10,Multan Chungi,Qartaba Chowk,8,Canal,74.31522501707254,31.516912973542166
10_7,Route 10,Multan Chungi,Qartaba Chowk,9,Ichra,74.32329723450691,31.520477985929002
10_8,Route 10,Multan Chungi,Qartaba Chowk,10,Shama,74.31875339082761,31.539502851010777
10_9,Route 10,Multan Chungi,Qartaba Chowk,11,Qartaba Chowk,74.31509782057223,31.548107280591786
