route_id,route_name,from,to,stop_index,stop_name,longitude,latitude
30007,Route 8,Doctor Hospital,Canal,2,Wafaqi Colony,74.2907734,31.4817346
30007,Route 8,Doctor Hospital,Canal,3,IBA Stop,,
30007,Route 8,Doctor Hospital,Canal,4,Hailey College,74.3074835,31.5617117
30007,Route 8,Doctor Hospital,Canal,5,Campus Pull,,
30007,Route 8,Doctor Hospital,Canal,6,Barkat Market,74.3210894,31.4999719
30007,Route 8,Doctor Hospital,Canal,7,Kalma Chowk,74.3312373,31.5043672
30007,Route 8,Doctor Hospital,Canal,8,Qaddafi Stadium,74.3307304,31.5140977
30007,Route 8,Doctor Hospital,Canal,9,Canal,74.25299,31.4647271
30008,Route 9,Railway Station,Sham Nagar,1,Railway Station,74.3361528,31.5722982
30008,Route 9,Railway Station,Sham Nagar,2,Haji Camp,74.3343889,31.571143
30008,Route 9,Railway Station,Sham Nagar,3,Shimla Pahari,74.3365138,31.5621217
30008,Route 9,Railway Station,Sham Nagar,4,Lahore Zoo,74.3256959,31.5566749
30008,Route 9,Railway Station,Sham Nagar,5,Chairing Cross,,
30008,Route 9,Railway Station,Sham Nagar,6,Ganga Ram Hospital,,
30008,Route 9,Railway Station,Sham Nagar,7,Qartaba Chowk,74.3150933,31.5487313
30008,Route 9,Railway Station,Sham Nagar,8,Chauburji,74.3045935,31.5539332
30008,Route 9,Railway Station,Sham Nagar,9,Sham Nagar,74.3041924,31.5541955
30009,Route 10,Multan Chungi,Qartaba Chowk,1,Multan Chungi,74.2640826,31.496147
30009,Route 10,Multan Chungi,Qartaba Chowk,2,Mustafa Town,74.2720405,31.4962182
30009,Route 10,Multan Chungi,Qartaba Chowk,3,Karim Block Market,,
30009,Route 10,Multan Chungi,Qartaba Chowk,4,PU Examination Center,,
30009,Route 10,Multan Chungi,Qartaba Chowk,5,Bhekewal Morr,74.3014506,31.5099272
30009,Route 10,Multan Chungi,Qartaba Chowk,6,Wahdat Colony,74.3074451,31.5164952
30009,Route 10,Multan Chungi,Qartaba Chowk,7,Naqsha Stop,74.316236,31.5172526
30009,Route 10,Multan Chungi,Qartaba Chowk,8,Canal,74.25299,31.4647271
